Step,Completed?,Item/Objective,Category,Location,Notes
626,FALSE,Bell Bearing Hunter,Boss,Church of Vows,"Night boss. Must activate SoG, change to night, then rest at the SoG. Drops the Meat Peddler's Bell Bearing"
627,FALSE,Meat Peddler's Bell Bearing,Bell Bearing,Church of Vows,Dropped by Bell Bearing Hunter at Church of Vows
628,FALSE,Land Squirt Ashes,Spirit Ashes,East Liurnia,"From the Gate Town Bridge SoG, head North on the lower level following the cliffs. Near Poisonous blobs on a corpse"
629,FALSE,Eastern Liurnia Lake Shore,SoG/Location,East Liurnia,"From the Gate Town Bridge SoG, head down the broken bridge and to the water, then head North. Or continue going North from the Land Squirt Ashes"
630,FALSE,Raya Lucaria Crystal Tunnel,SoG/Location,East Liurnia,"From the Eastern Liurnia Lake Shore SoG, head Northwest hugging the rock face, then North. Near the Bell Bearing Mosoleum. Lots of Smithing Stone 1, 2,3, Somber Smithing Stone 1, 2, 3"
631,FALSE,Crystal Knife,Dagger,Raya Lucaria Crystal Tunnel,"Found in the chest after progressing past two lifts, guarded by mannequin enemies"
632,FALSE,Shatter Earth,Sorcery,Raya Lucaria Crystal Tunnel,Found past the mannequin enemies and in a short tunnel near the stone digger enemies
633,FALSE,Crystalian Ring Blade,Boss,Raya Lucaria Crystal Tunnel,"Drops the Smithing-Stone Miner's Bell Bearing 1. Recommended to use a heavy weapon, two hand to break their ""armor"" quickly. Then they stagger easily and take more damage"
634,FALSE,Smithing Stone Miner's Bell Bearing 1,Bell Bearing,Raya Lucaria Crystal Tunnel,Dropped by Crystalian Ring Blade. Can be given to Twin Maiden Husks in Roundtable Hold. 
635,FALSE,Uld Palace Ruins,SoG/Location,East Liurnia,North of Eastern Tablelands SoG
636,FALSE,Ruined Labrynth,SoG/Location,East Liurnia,Navigate Labyrinth with enemies. Find the path leading up to a small group of enemies and a statue you can walk across. Will be just past the two archers
637,FALSE,Spiralhorn Shield,Small Shield,East Liurnia,"Head Northwest from Ruined Labyrinth SoG, toward the Mosoleum. The shield is Southwest on a corpse"
638,FALSE,Mausoleum Compound,SoG/Location,East Liurnia,North of Spiralhorn Shield or North/Northwest from the Ruined Labrynth SoG. Continue past the first wandering mausoleum and you'll find this SoG just before the second one
639,FALSE,Stalwart Horn Charm,Talisman,East Liurnia,"From the Mausoleum Compound SoG. Go Northwest just a bit and turn West, hugging the cliff to your left and find a hole in the wall. Go through and to the left on a corpse"
640,FALSE,Minor Erdtree,SoG/Location,East Liurnia,"From the Mausoleum Compound SoG, head North toward the second wandering mausoleum, then head East"
641,FALSE,Erdtree Avatar,Boss,East Liurnia,"Near East Liurnia Minor Erdtree. Drops Magic-Shrouding Cracked Tear, Lightning-Shrouding Cracked Tear, and Holy-Shrouding Cracked Tear"
642,FALSE,Magic-Shrouding Cracked Tear,Crystal Tear,East Liurnia,Dropped by Erdtree Avatar in East Liurnia
643,FALSE,Lightning-Shrouding Cracked Tear,Crystal Tear,East Liurnia,Dropped by Erdtree Avatar in East Liurnia
644,FALSE,Holy-Shrouding Cracked Tear,Crystal Tear,East Liurnia,Dropped by Erdtree Avatar in East Liurnia
645,FALSE,Black Knife Catacombs,SoG/Location,East Liurnia,"From the Ruined Labyrinth SoG, head East toward the cliff edge, then continue North. Will be in a canyon guarded by a headless spirit enemy. Contains Grave Glovewort 2, 3, 4 NOTE: Some skeleton enemies will keep coming back unless you kill the enemy with the black flame torch"
646,FALSE,Rosus' Axe,Axe,Black Knife Catacombs,Stonesword key is needed
647,FALSE,Black Knife Assassin,Boss,Black Knife Catacombs,Found up on the higher level by standing on one of the guillotine traps and riding it up to a platform. Attack illusory wall at the end of this path. Drops the Assassin's Cerulean Dagger and the Black Knifeprint which is required for Rogier's questline
648,FALSE,Assassin's Cerulean Dagger,Talisman,Black Knife Catacombs,Dropped by Black Knife Assassin
649,FALSE,Black Knifeprint,Key Item,Black Knife Catacombs,Dropped by Black Knife Assassin
650,FALSE,Cemetary Shade,Boss,Black Knife Catacombs,Drops Twinsage Sorcerer Ashes
651,FALSE,Twinsage Sorcerer Ashes,Spirit Ashes,Black Knife Catacombs,Dropped by Cemetary Shade boss
652,FALSE,Deathroot,Quest Item,Black Knife Catacombs,In chest in boss room. Fourth one found
653,FALSE,Beast Clergyman,NPC,Caelid,"Go to Beast Sanctum, give Beast Clergyman the fourth deathroot to receive Ash of War: Beast's Roar. NOTE: After giving this deathroot, once you return, the Beast Clergyman will be aggro. Do not kill him, just weaken him until he surrenders"
654,FALSE,Ash of War: Beast's Roar,Ash of War,Caelid,Given by Beast Clergyman for giving him a fourth deathroot
655,FALSE,Sorcerer Rogier,NPC,Roundtable Hold,"Speak to Rogier and give him the Black Knife Print, then reload the area and speak to him again. Exhaust all dialogoue"
656,FALSE,East Raya Lucaria Gate,SoG/Location,East Liurnia,"West of Raya Lucaria Crystal Tunnel, find the spiritspring along the cliff side and take it up, then head Northwest near the gate to find SoG"
657,FALSE,Boc,NPC,East Liurnia,"At the East Raya Lucaria Gate SoG, rest and Boc should appear. Exhaust his dialogue, if any"
658,FALSE,Melina,NPC,East Liurnia,Rest at the East Raya Lucaria Gate SoG and exhaust dialogue. Will appear here if you are following Boc's questline
659,FALSE,Finger Reader Crone,NPC,East Liurnia,Near the East Raya Lucaria Gate SoG. Speak to it for lore
660,FALSE,Bellum Church,SoG/Location,East Liurnia,Northeast from East Raya Lucaria Gate SoG by a forest
661,FALSE,Sacred Tear,Flask,East Liurnia,Found at Bellum Church
662,FALSE,Night's Cavalry,Boss,East Liurnia,Found near Bellum Church at night. Drops Ash of War: Giant Hunt and Nightrider Glaive
663,FALSE,Ash of War: Giant Hunt,Ash of War,East Liurnia,Dropped by Night's Cavalry boss near Bellum Church
664,FALSE,Nightrider Glaive,Halberd,East Liurnia,Dropped by Night's Cavalry boss near Bellum Church
665,FALSE,Nomadic Merchant,NPC,East Liurnia,"From Bellum Church, take path through tunnel in the church that leads down. Kill for Nomadic Merchant's Bell Bearing 6"
666,FALSE,Nomadic Merchant's Bell Bearing 6,Bell Bearing,East Liurnia,Kill Nomadic Merchant near Bellum Church
667,FALSE,Nomadic Warrior's Cookbook 13,Cookbook,East Liurnia,"Sold by merchant, path through church to lower level"
668,FALSE,Composite Bow,Light Bow,East Liurnia,"Sold by merchant, path through church to lower level"
669,FALSE,Rift Shield,Small Shield,East Liurnia,"Sold by merchant, path through church to lower level"
670,FALSE,Blue Crest Heater Shield,Medium Shield,East Liurnia,"Sold by merchant, path through church to lower level"
671,FALSE,Great Mace,Great Hammer,East Liurnia,Northeast from the Bellum Church in unnamed enemy camp with catapults. In a chest on the right side at higher level
672,FALSE,Grand Lift of Dectus,SoG/Location,East Liurnia,Northeast along the main road from the Bellum Church or continue on from where you found the great mace heading Northeast
673,FALSE,Melina,NPC,East Liurnia,Talk to her by resting at the Grand Lift of Dectus SoG
674,FALSE,Ghost,Ghost,East Liurnia,"Found at the Grand Lift of Dectus SoG, talk to it for lore"
675,FALSE,Frenzy-Flaming Tower,SoG/Location,East Liurnia,South from the Grand Lift of Dectus SoG. Be quick and hide to avoid Madness. Contains Howl of Shabriri in a chest
676,FALSE,Howl of Shabriri,Incantation,East Liurnia,In the Frenzy-Flaming Tower
677,FALSE,Frenzied Flame Village Outskirts,SoG/Location,East Liurnia,Southeast from Frenzy-Flaming Tower
678,FALSE,Frenzied Flame Village,SoG/Location,East Liurnia,Near Frenzied Flame Village Outskirts SoG
679,FALSE,Frenzied's Cookbook 1,Cookbook,East Liurnia,In the Frenzied Flame VIllage
680,FALSE,Shabriri's Woe,Talisman,East Liurnia,Found on Corpse near knights in Frenzied Flame Village
681,FALSE,Stonesword Key,Key Item,East Liurnia,"Continue through the village and then out the Northeast side until you get to the top of the hill, just past a cliff face to your left. Turn around and follow along the top of this cliff back toward the village until you can jump down to the top of the wall around the village. Continue South along the top of the wall and find this on the corpse"
682,FALSE,Ghost,Ghost,East Liurnia,"From the Frenzied Flame Village, continue out of the Northwest side of the village and find the ghost along the path to the Church of Inhibition. Speak to it for lore"
683,FALSE,Church of Inhibition,SoG/Location,East Liurnia,"West from the Frenzy-Flaming Tower, after passing through the village. NOTE: As you approach, you will be invaded by Festering Fingerprint Vyke"
684,FALSE,Festering Fingerprint Vyke,Invader,East Liurnia,Invaded near Church of Inhibition. Drops Fingerprint Grape and Vyke's War Spear
685,FALSE,Fingerprint Grape,Quest Item,East Liurnia,Received from defeating Festering Fingerprint Vyke. Given to Hyetta later in her questline
686,FALSE,Vyke's War Spear,Great Spear,East Liurnia,Received from defeating Festering Fingerprint Vyke
687,FALSE,Sacred Tear,Flask,East Liurnia,Located in Church of Inhibition
688,FALSE,Finger Maiden Set,Armor Set - Partial,East Liurnia,Located in Church of Inhibition. Does not contain gloves
689,FALSE,Frenzied Burst,Incantation,East Liurnia,Southeat from the Church of Inhibition in a clearing guarded by rats. Kill the scarab
690,FALSE,Ash of War: Giant Hunt,Ash of War,East Liurnia,"East from the Frenzied Flame Village, dropped by a troll knight. Not dropped if you received this from the Night's Cavalry boss already, and you can safely ignore this encounter if you've done so"
691,FALSE,Converted Fringe Tower,SoG/Location,East Liurnia,"Near the troll knight, note the location as we cannot access yet"
692,FALSE,Siofra River,Checkpoint,East Limgrave,"Return to Siofra River Well Depths SoG, underground. Siofra River Contains Ghost Glovewort 1-5, Smithings Stone 2-4, Somber Smithing Stone 2, 5"
693,FALSE,Oracle Bubbles,Sorcery,Siofra River,"Parkour up to the higher levels. Find platform with two clayman. Jump down with torrent to pillar to find this sorcery, kill the scarab"
694,FALSE,Siofra River Bank,SoG/Location,Siofra River,"Access elevator, move upstream past the crab. In this region, you need to find 8 obelisks that you can light up to access the boss. The first will be on your way to get the map"
695,FALSE,Obelisk 1,Event,Siofra River,"Head East from the Siofra River Bank SoG, found in the water"
696,FALSE,Map: Siofra River,Map,Siofra River,Head East from the Siofra River Bank. On pillar at base of stairs
697,FALSE,Inverted Hawk Heater Shield,Medium Shield,Siofra River,"West from the map location, up the cliff and past the enemies"
698,FALSE,Horn Bow,Bow,Siofra River,Under the stairs near the map. Jump to platform with pillars
699,FALSE,Stonesword Key,Key Item,Siofra River,Follow cliff from stairs to spiritspring. Ride to East to broken bridge
700,FALSE,Obelisk 2,Event,Siofra River,"From Siofra River Bank SoG, continue North past the first Obelisk you lit, and past the large stone pillars. You'll find another obelisk in the water before hitting the scaffolding"
701,FALSE,Abandoned Merchant,NPC,Siofra River,"Continue North until you find some scafolding with spirit horned guardians. Follow that up and around a pillar, into a cave, then drop into the room. Kill for Abandoned Merchant's Bell Bearing"
702,FALSE,Abandoned Merchant's Bell Bearing,Bell Bearing,Siofra River,Dropped by Abandoned Merchant in Siofra River
703,FALSE,Larval Tear,Key Item,Siofra River,Sold by merchant
704,FALSE,Nomadic Warrior's Cookbook 17,Cookbook,Siofra River,Sold by merchant
705,FALSE,Nomadic Warrior's Cookbook 18,Cookbook,Siofra River,Sold by merchant
706,FALSE,Shotel,Curved Sword,Siofra River,Sold by merchant
707,FALSE,Stonesword Key,Key Item,Siofra River,Sold by merchant. Three are available
708,FALSE,Armorer's Cookbook 6,Cookbook,Siofra River,"West of the Siofra River Bank SoG, follow the rock face to the left, find near horned spirit guardians"
709,FALSE,Obelisk 3,Event,Siofra River,"From the Siofra River Bank SoG, head West to the rock face and then follow it to the right and up to find the 3rd Obelisk"
710,FALSE,Obelisk 4,Event,Siofra River,"Return to the scaffolding that lead to the merchant, and go past it, on the other side of the large stone pillars"
711,FALSE,Worshipper's Woods,SoG/Location,Siofra River,"East of the scaffolding and obelisk 4, beneath the bridge"
712,FALSE,Obelisk 5,Event,Siofra River,Directly South of the Worshipper's Woods SoG
713,FALSE,Obelisk 6,Event,Siofra River,"Continue South from Obelisk 5, near the cliff edge"
714,FALSE,Ash of War: Square Off,Ash of War,Siofra River,Northwest of the Worshipper's Woods SoG at the edge of a cliff. Kill the scarab
715,FALSE,Obelisk 7,Event,Siofra River,Directly North of Worshipper's Woods or the Ash of War: Square Off scarab. Up on a small cliff with horned spirit enemies and rats
716,FALSE,Obelisk 8,Event,Siofra River,"East of obelisk 6, just down from the cliff edge near more rats and horned spirit enemies"
717,FALSE,Golden Seed,Flask,Siofra River,North of Obelisk 6 and 7
718,FALSE,Stonesword Key,Key Item,Siofra River,"South of the Golden Seed, use Torrent to jump at the column and follow it"
719,FALSE,Below the Well,SoG/Location,Siofra River,"Head North from Obelisk 6 and 7, near the stairs leading to the lift to Deep Siofra Well SoG, on the small plateau"
720,FALSE,Clarifying Horn Charm,Talisman,Siofra River,"At the top of the stairs near the Below the Well SoG, just before the lift"
721,FALSE,Deep Siofra Well,SoG/Location,Siofra River,Take the lift up from the Below the Well SoG. Requires two Stonesword Keys to unlock
722,FALSE,Stonesword Key,Key Item,Siofra River,"Once above ground, head South and look for this past a runebear enemy"
723,FALSE,Waygate,Event,Siofra River,"Return to the Worshipper's Woods SoG and head South, look for a fallen pillar you can climb onto leading up to a waygate. Take this to the highest area in this region"
724,FALSE,Great Oracular Bubble,Sorcery,Siofra River,"In the new elevated area, head to the Southwest part and find this in a building with a lot of clayman enemies. Kill the scarab"
725,FALSE,Dragonkin Soldier,Boss,Siofra River,"In the top area after taking the waygate, head to the North section to find this boss in the water. Drops the Dragon Halberd"
726,FALSE,Dragon Halberd,Halberd,Siofra River,Dropped by the Dragonkin Soldier boss
727,FALSE,Marika's Scarseal,Talisman,Siofra River,Hidden under waterfall past the Dragonkin Soldier boss
728,FALSE,Ancestor Spirit,Boss,Siofra River,Return to Siofra River Bank SoG. Head up the stairs from where you found the map and touch the corpse to access this boss after you've activated the 8 obelisks. Drops the Ancestral Follower Ashes
729,FALSE,Ancestral Follower Ashes,Spirit Ashes,Siofra River,Dropped by Ancestor Spirit
730,FALSE,Ainsel River Part 1,Checkpoint,Ainsel River,"Return to the Ainsel River Well Depths SoG. Ainsel River Contains Ghost Glovewort 1, 2, 6, 7, 8, Smithing Stone 1-4, 6, Somber Smithing Stone 6, 7"
731,FALSE,Ainsel River Well Depths,SoG/Location,Ainsel River,"Area contains Ghost Glovewort 1, 3"
732,FALSE,Ainsel River Sluice Gate,SoG/Location,Ainsel River,Follow the river past the ants' nests to the elevator and go past it to find the SoG
733,FALSE,Map: Ainsel River,Map,Ainsel River,Take the lift and then head through the first building. Found below giant bug enemy in the second building
734,FALSE,Nomadic Merchant,NPC,Ainsel River,Found in building under giant bug enemy with map. Kill for Hermit Merchant's Bell Bearing 3
735,FALSE,Hermit Merchant's Bell Bearing 3,Bell Bearing,Ainsel River,Dropped by Nomadic Merchant
736,FALSE,Nomadic Warrior's Cookbook 16,Cookbook,Ainsel River,Sold by merchant in building beneath giant bug enemy
737,FALSE,Perfumer's Cookbook 4,Cookbook,Ainsel River,Sold by merchant in building beneath giant bug enemy
738,FALSE,Prisoner Set,Armor Set - Partial,Ainsel River,Sold by merchant in building beneath giant bug enemy. Does not contain gloves
739,FALSE,Ainsel River Downstream,SoG/Location,Ainsel River,Head Southwest to caves from where giant bug enemy is
740,FALSE,Immunizing Horn Charm,Talisman,Ainsel River,Follow the river West to enter more tunnels with more ants' nests
741,FALSE,Dragonkin Soldier of Nokstella,Boss,Ainsel River,Drops Frozen Lightning Spear
742,FALSE,Frozen Lightning Spear,Incantation,Ainsel River,Dropped by Dragonkin Soldier of Nokstella
743,FALSE,Dragonkin Soldier of Nokstella (SoG),SoG/Location,Ainsel River,Appears after defeating boss
744,FALSE,Great Ghost Glovewort,Upgrade Mat,Ainsel River,Find room below huge statue in the Dragonkin Soldier of Nokstella boss arena. In a chest
745,FALSE,Northern Liurnia,Checkpoint,Northern Liurnia,"Return to the Scenic Isle SoG in Liurnia. Liurnia has Grave Glovewort 2, 3, 4, Smithing Stone 1- 9, Somber Smithing Stone 2, 3, 4"
746,FALSE,Boilprawn Shack,SoG/Location,Northern Liurnia,Head North/Northwest from Scenic Isle SoG
747,FALSE,Academy Gate Town,SoG/Location,Northern Liurnia,Head Northeast from the Boilprawn Shack SoG
748,FALSE,Map: North Liurnia,Map,Northern Liurnia,Look for pillar near the Academy Gate Town SoG
749,FALSE,Rya,NPC,Northern Liurnia,Head East from Scenic Isle SoG and find Rya in a small building with a statue in it. Exhaust dialogue and agree to help find her necklace
750,FALSE,Deathbird,Boss,Northern Liurnia,Found North of Scenic Isle. Drops Red-Feathered Branchsword
751,FALSE,Red-Feathered Branchsword,Talisman,Northern Liurnia,Dropped by Deathbird in Northern Liurnia
752,FALSE,Blackguard Big Boggart,NPC,Northern Liurnia,Found at Boilprawn Shack. Buy Rya's Necklace. Also buy Boiled Prawn to advance quest. Talk to him after to get the Spread Out Gesture
753,FALSE,Rya's Necklace,Quest Item,Northern Liurnia,Bought from Blackguard Big Boggart. Needed for Rya's questline
754,FALSE,Spread Out,Gesture,Northern Liurnia,Received by buying Boiled Prawn from Blackguard and exhausting dialogue
755,FALSE,Rya,NPC,Northern Liurnia,Take the necklace you bought from Blackguard back to Rya and she will give you an invitation to Volcano Manor
756,FALSE,Volcano Manor Invitation,Quest Item,Northern Liurnia,Received from Rya after giving her the necklace
757,FALSE,Dexterity-Knot Crystal Tear,Crystal Tear,Northern Liurnia,Southwest from the Boilprawn Shack SoG on a small island
758,FALSE,Folly On The Lake,SoG/Location,Northern Liurnia,"West from the Dexterity-Knot Crystal Tear or the Boilprawn Shack SoG, found in another small building with a statue in it"
759,FALSE,Rose Church,SoG/Location,Northern Liurnia,Northwest from the Folly On The Lake SoG
760,FALSE,Nomadic Warrior's Cookbook 12,Cookbook,Northern Liurnia,Found at Rose Church along Southern Walls
761,FALSE,Varre,NPC,Northern Liurnia,"Near Rose Church. Speak to him and say they didn't seem right, to receive multiplayer items and continue his quest"
762,FALSE,Festering Bloody Finger,Online,Northern Liurnia,Given by Varre for continuing his quest. Used in the next part of Varre's questline which has the player doing invasions
763,FALSE,Varre,Event,Northern Liurnia,"Use the Festering Bloody Fingers that Varre gives you in order to invade three times. You can immediately leave once you invade and it will count. If you are playing offline, there will be opportunity later to do a single NPC invasion to advance this quest"
764,FALSE,Varre,NPC,Northern Liurnia,"Speak to Varre after invading three times and he will give you the Lord of Blood's Favor. Alternatively, you can come back to this point after defeating the invasion sign in the Altus Plateau and progress Varre's questline if you are playing offline"
765,FALSE,Lord of Blood's Favor,Quest Item,Northern Liurnia,"Given by Varre at the Rose Church in Liurnia after invading three times. Additionally, you can come back to this point after defeating the invasion sign in the Altus Plateau and progress Varre's questline"
766,FALSE,Fallen Ruins of the Lake,SoG/Location,Northern Liurnia,"From the Rose Church, head directly East to find a small ruins location. SoG on top of the ruins building"
767,FALSE,Larval Tear,Key Item,Northern Liurnia,Head South from the Fallen Ruins of the Lake SoG and look for the patroling crayfish. There will be several sleeping and one patroling. That one is a disguised Grafted Scion and will drop a larval tear when defeated
768,FALSE,Varre,Event,Northern Liurnia,Return to the Church of Inhibition and soak the Lord of Blood's Favor in the blood of the dead maiden there
769,FALSE,Varre,NPC,Northern Liurnia,Return to the Rose Church and speak to Varre after soaking the Favor in the blood of a maiden. He will then give you the Bloody Finger
770,FALSE,Bloody Finger,Online,Northern Liurnia,Used to invade an unlimited number of times. Given by Varre during his questline
771,FALSE,Varre,NPC,Northern Liurnia,Speak to Varre again and he will give you the Pureblood Knight's Medal. This will teleport you to Mohgwyn Palace any time (VERY DIFFICULT AREA)
772,FALSE,Pureblood Knight's Title,Quest Item,Northern Liurnia,Given by Varre after bringing him the Lord of Blood's Favor with the blood of a hand maiden on it. Use to get to Mohgwyn's Palace any time. NOT RECOMMENDED THIS EARLY IN THE GAME
773,FALSE,Bloodflame Blade,Incantation,Northern Liurnia,Return to the Rose Church. Head Northwest from the Rose Church and kill the scarab
774,FALSE,Temple Quarter,SoG/Location,Northern Liurnia,"Northwest from the Rose Church. You will discover the location, continue through to the other side to find the SoG"
775,FALSE,Icerind Hatchet,Axe,Northern Liurnia,"In the Temple Quarter, Southeast portion of the area. In a chest in a broken building"
776,FALSE,Glintstone Dragon Smarag,Boss,Northern Liurnia,North from the Temple Quarter. Drops a Dragon Heart
777,FALSE,Dragon Heart,Key Item,Northern Liurnia,Dropped by Glintstone Dragon Smarag
778,FALSE,Academy Glintstone Key,Quest Item,Northern Liurnia,Guarded by Glintstone Dragon Smarag found on the corpse near the rock. Used to get into Raya Lucaria Royal Academy
779,FALSE,Academy Crystal Cave,SoG/Location,Northern Liurnia,"Northeast from Glintstone Dragon Smarag or North/Northeast from the Temple Quarter SoG, along the rockface. Need 2 Stonesword Keys to enter"
780,FALSE,Stonesword Key,Key Item,Academy Crystal Cave,"In a room just past the area with the mages and the crystals, on a corpse in a cage"
781,FALSE,Crystal Staff,Staff,Academy Crystal Cave,Continue into next room through a doorway and attack illusory wall on the left. Found in the chest up the ledge
782,FALSE,Crystalian Staff and Crystalian Spear,Boss,Academy Crystal Cave,Use a blunt weapon or something heavy to stagger and break through their "armor". Drops Crystal Release sorcery
783,FALSE,Crystal Release,Sorcery,Academy Crystal Cave,Dropped by Crystalian Staff and Spear boss
784,FALSE,Terra Magica,Sorcery,Academy Crystal Cave,Enter elevator after bosses and follow to the top
785,FALSE,Crystalline Woods,SoG/Location,Northern Liurnia,"Northwest from the Academy Crystal Cave SoG, just on the other side of the large rocks"
786,FALSE,Sorcerer's Isle ,SoG/Location,Northern Liurnia,Northeast from the Crystalline Woods SoG
787,FALSE,Testu's Rise,SoG/Location,Northern Liurnia,"North from the Crystalline Woods SoG on an Island. Hit three spirit turtles. First North of tower near cliffs, secon is South below cliffs, third East of tower in a tree"
788,FALSE,Memory Stone,Key Item,Northern Liurnia,Found in Testu's Rise in Liurnia
789,FALSE,Diallos,NPC,Northern Liurnia,North from Academy Gate Town. Speak to him to exhaust his dialogue
790,FALSE,Gate Town North,SoG/Location,Northern Liurnia,Northwest from where you found Diallos
791,FALSE,Stonesword Key,Key Item,Northern Liurnia,"From the Gate Town North SoG, head West toward the bridge and look for a rock pillar pointing Southwest leading up to a higher section, still underneath the bridge. Turn right once on this section and head North past two trestle openings. You should see a corpse sitting in a chair overlooking the lake"
792,FALSE,Diallos,NPC,Roundtable Hold,Go to Roundtable Hold and exhaust Diallos' dialgoue
793,FALSE,East Gate Bridge Trestle,SoG/Location,Northern Liurnia,"North/Northwest from Gate Town North SoG or Southeast of Sorcerer's Isle, head toward the middle of the tall pillars/bridge"
794,FALSE,Ash of War: Shield Bash,Ash of War,Northern Liurnia,"Next to East Gate Bridge Trestle on other side of pillar. Near bottom right corner of the middle segment, dropped by scarab. Sneak up and use ranged to attack it"
795,FALSE,Death Rite Bird,Boss,Northern Liurnia,South of the Gate Town North SoG. Drops the Ancient Death Rancor sorcery
796,FALSE,Ancient Death Rancor,Sorcery,Northern Liurnia,Dropped by Death Rite Bird in Northern Liurnia
797,FALSE,Stonesword Key,Key Item,Northern Liurnia,"South of the Gate Town North SoG, past where you fought the Death Rite Bird in Northern Liurnia, in a chest on one of the small towers"
798,FALSE,Glintstone Craftsman's Cookbook 4,Cookbook,Northern Liurnia,Near a bunch of forg enemies in a tower in a chest. It will be located to the left of the Academy Gate Town symbol on the map
799,FALSE,Golden Seed,Flask,Northern Liurnia,West/Northwest from the Academy Gate Town SoG or West from the Glintstone Craftsman's Cookbook 4 near a Golden Tree
800,FALSE,Ash of War: Charge Forth,Ash of War,Northern Liurnia,"From the Golden Tree, head Southwest and toward the bridge, will be underneath and hanging from the trestle above the poison bloat enemies"
801,FALSE,Blue-White Wooden Shield,Small Shield,Northern Liurnia,"Head North from where you found the Golden Seed and look for barricades and stairs leading up to higher level, West part near patrolling enemy"
802,FALSE,Finger Reader Crone,NPC,Northern Liurnia,"After finding the Blue-White Wooden Shield in the upper section of the Academy Gate Town, head to the most Eastern part along the broken bridge. Speak to them for lore"
803,FALSE,South Raya Lucaria Gate,SoG/Location,Northern Liurnia,"Rest at the SoG past all of the enemies on the upper level, near where you got the Blue-White Wooden Shield, Southeastern section of the upper area"
804,FALSE,Meeting Place Map,Key Item,Northern Liurnia,Found near the gate into Raya Lucaria
805,FALSE,Main Academy Gate,SoG/Location,Northern Liurnia,"From the South Raya Lucaria Gate SoG, Use the Academy Glintstone Key to go through the barrier and rest at the SoG"
806,FALSE,Raya Lucaria Academy,Checkpoint,Northern Liurnia,"Start at the Main Academy Gate SoG. Contains Smithing Stone 2-5, Somber Smithing Stone 3, 4"
807,FALSE,Isolated Merchant,NPC,Raya Lucaria Academy,"Southeast from the Main Academy Gate SoG, kill for Isolated Merchant's Bell Bearing 2"
808,FALSE,Isolated Merchant's Bell Bearing 2,Bell Bearing,Raya Lucaria Academy,Dropped by Isolated Merchant
809,FALSE,Fanged Imp Ashes,Spirit Ashes,Raya Lucaria Academy,"Southeast down the road from the Main Academy Gate SoG, find a merchant who sells this. NOTE: You will need this for a puzzle later"
810,FALSE,Fevor's Cookbook 2,Cookbook,Raya Lucaria Academy,"Southeast down the road from the Main Academy Gate SoG, find a merchant who sells this"
811,FALSE,Stonesword Key,Key Item,Raya Lucaria Academy,"Southeast down the road from the Main Academy Gate SoG, find a merchant who sells this. Three of them are sold by this merchant"
812,FALSE,Warrior Set,Armor Set,Raya Lucaria Academy,"Southeast down the road from the Main Academy Gate SoG, find a merchant who sells this. This includes the Blue Cloth Cowl and Blue Cloth Vest"
813,FALSE,Sacrificial Twig,Talisman,Raya Lucaria Academy,"Southeast down the road from the Main Academy Gate SoG, find a merchant who sells this. Sells three"
814,FALSE,Golden Seed,Flask,Raya Lucaria Academy,Return to Main Academy Gate SoG. Northeast toward the broken bridge from the Main Academy Gate SoG
815,FALSE,Yura,Event,Raya Lucaria Academy,"From the Main Academy Gate SoG, head Northeast toward where you found the Golden Seed. Touch the red summon sign on the ground. You'll join Yura against Bloody Finger Ravenmount Assassin"
816,FALSE,Bloody Finger Ravenmount Assassin,Invader,Raya Lucaria Academy,Defeat him with Yura to receive Ash of War: Raptor of the Mists
817,FALSE,Ash of War: Raptor of the Mists,Ash of War,Raya Lucaria Academy,Received from defeating Bloody Finger Ravenmount Assassin with Yura during his questline
818,FALSE,Yura,NPC,Raya Lucaria Academy,Exhaust dialogue after defeating the invader with Yura at the Raya Lucaria Academy. He will give you Smithing Stone 5
819,FALSE,Church of the Cuckoo,SoG/Location,Raya Lucaria Academy,"Return to the Main Academy Gate SoG. Take lift up, go up the stairs past the enemies and into the room. SoG will be around the wall on the left"
820,FALSE,Marionette Soldier Ashes,Spirit Ashes,Raya Lucaria Academy,"From the Church of the Cuckoo SoG, head down the hall and down the stairs to the left. Go across the wood bridge and immediately go to the left and onto the lower cliff. Follow through cave to find these"
821,FALSE,Carian Knight Set,Armor Set,Raya Lucaria Academy,"Make your way through the graveyard and up a hill, then turn right. The set will be near a tombstone with a larger enemy kneeling in front of it"
822,FALSE,Ash of War: Spectral Lance,Ash of War,Raya Lucaria Academy,Continue up the hill and look for a path on the cliff edge leading down to the left. There will be a scarab to kill for this
823,FALSE,Gravity Well,Sorcery,Raya Lucaria Academy,Continue from the graveyard through a room and past a conveyor lift. Fight the giant pale enemy
824,FALSE,Schoolhouse Classroom,SoG/Location,Raya Lucaria Academy,Take the conveyor lift up and go into the building to find this SoG
825,FALSE,Avionette Soldier Ashes,Spirit Ashes,Raya Lucaria Academy,Use conveyor lift again to reach a lower cliff where you can get these
826,FALSE,Longtail Cat Talisman,Talisman,Raya Lucaria Academy,Use Conveyor again to ride to the bottom of this area
827,FALSE,Conspectus Scroll,Scroll,Raya Lucaria Academy,Return to the Schoolhouse Classroom SoG. Left in the hallway
828,FALSE,Glintstone Craftsman's Cookbook 5,Cookbook,Raya Lucaria Academy,Return to the Schoolhouse Classroom SoG. Head out and turn left in the hallway. In the chest
